tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2006-04-13,N,0,0,0,,,
Termica,2006-04-13,SIN,90,1.066,9.059,,,
Termica,2006-04-14,SE/CO,49,695,5.532,,,
Termica,2006-04-14,S,25,387,3.193,,,
Termica,2006-04-14,NE,5,62,411,,,
Termica,2006-04-14,N,0,0,0,,,
Termica,2006-04-14,SIN,78,1.144,9.137,,,
Termica,2006-04-15,SE/CO,46,742,5.578,,,
Termica,2006-04-15,S,22,408,3.215,,,
Termica,2006-04-15,NE,6,69,418,,,
Termica,2006-04-15,N,0,0,0,,,
Termica,2006-04-15,SIN,74,1.218,9.211,,,
Termica,2006-04-16,SE/CO,46,787,5.624,,,
Termica,2006-04-16,S,21,429,3.235,,,
Termica,2006-04-16,NE,7,75,424,,,
Termica,2006-04-16,N,0,0,0,,,
Termica,2006-04-16,SIN,73,1.291,9.284,,,
Termica,2006-04-17,SE/CO,47,834,5.671,,,
Termica,2006-04-17,S,21,449,3.256,,,
Termica,2006-04-17,NE,6,82,431,,,
Termica,2006-04-17,N,0,0,0,,,
Termica,2006-04-17,SIN,74,1.365,9.358,,,
Termica,2006-04-18,SE/CO,45,879,5.716,,,
Termica,2006-04-18,S,21,470,3.277,,,
Termica,2006-04-18,NE,6,88,437,,,
