tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Eolica,2017-04-02,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-02,Sistema Interligado Nacional,"58,74","124,22","6.711,50",,,
Eolica,2017-04-03,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-03,Nordeste,"71,38","149,07","5.631,88",,,
Eolica,2017-04-03,Sul,"18,47","64,99","1.169,47",,,
Eolica,2017-04-03,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-03,Sistema Interligado Nacional,"89,85","214,07","6.801,34",,,
Eolica,2017-04-04,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-04,Nordeste,"74,26","223,33","5.706,14",,,
Eolica,2017-04-04,Sul,"9,46","74,45","1.178,93",,,
Eolica,2017-04-04,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-04,Sistema Interligado Nacional,"83,72","297,79","6.885,07",,,
Eolica,2017-04-05,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-05,Nordeste,"83,60","306,93","5.789,74",,,
Eolica,2017-04-05,Sul,"9,11","83,56","1.188,03",,,
Eolica,2017-04-05,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-05,Sistema Interligado Nacional,"92,70","390,49","6.977,77",,,
Eolica,2017-04-06,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-06,Nordeste,"88,86","397,58","5.880,39",,,
Eolica,2017-04-06,Sul,"6,45","90,01","1.194,49",,,
Eolica,2017-04-06,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-06,Sistema Interligado Nacional,"95,31","487,59","7.074,87",,,
Eolica,2017-04-07,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-07,Nordeste,"81,05","478,64","5.961,44",,,
Eolica,2017-04-07,Sul,"24,67","114,69","1.219,16",,,
Eolica,2017-04-07,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-07,Sistema Interligado Nacional,"105,73","593,32","7.180,60",,,
Eolica,2017-04-08,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-08,Nordeste,"92,23","570,87","6.053,67",,,
Eolica,2017-04-08,Sul,"36,17","150,86","1.255,33",,,
Eolica,2017-04-08,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-08,Sistema Interligado Nacional,"128,41","721,73","7.309,01",,,
Eolica,2017-04-09,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-09,Nordeste,"79,49","650,36","6.133,16",,,
Eolica,2017-04-09,Sul,"35,29","186,15","1.290,62",,,
Eolica,2017-04-09,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-09,Sistema Interligado Nacional,"114,78","836,50","7.423,78",,,
Eolica,2017-04-10,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-10,Nordeste,"55,72","706,08","6.188,88",,,
Eolica,2017-04-10,Sul,"30,70","216,84","1.321,32",,,
Eolica,2017-04-10,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-10,Sistema Interligado Nacional,"86,42","922,92","7.510,20",,,
Eolica,2017-04-11,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-11,Nordeste,"38,07","744,15","6.267,78",,,
Eolica,2017-04-11,Sul,"27,91","244,75","1.349,19",,,
Eolica,2017-04-11,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-11,Sistema Interligado Nacional,"65,98","988,90","7.616,97",,,
Eolica,2017-04-12,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-12,Nordeste,"34,02","778,17","6.300,78",,,
Eolica,2017-04-12,Sul,"9,98","254,73","1.359,12",,,
Eolica,2017-04-12,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-12,Sistema Interligado Nacional,"44,00","1.032,89","7.659,91",,,
Eolica,2017-04-13,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-13,Nordeste,"57,88","838,27","6.363,62",,,
Eolica,2017-04-13,Sul,"6,44","261,16","1.365,24",,,
Eolica,2017-04-13,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-13,Sistema Interligado Nacional,"64,31","1.099,43","7.728,86",,,
Eolica,2017-04-14,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-14,Nordeste,"86,12","924,39","6.449,74",,,
Eolica,2017-04-14,Sul,"6,96","268,13","1.372,21",,,
